Name,Purpose,Country,International Code,Ownership,Flavor Tags,Aroma Profile,Alpha Acid Low,Alpha Acid High,Alpha Acid Avg,Beta Acid Low,Beta Acid High,Beta Acid Avg,Alpha-Beta Ratio Low,Alpha-Beta Ratio High,Alpha-Beta Ratio Avg,Co-Humulone Low,Co-Humulone High,Co-Humulone Avg,Total Oils Low,Total Oils High,Total Oils Avg,Myrcene,Humulene Low,Humulene High,Humulene Avg,Caryophyllene Low,Caryophyllene High,Caryophyllene Avg,Farnesene,All Others Low,All Others High,Cultivar/Brand ID,Myrcene Low,Myrcene High,Myrcene Avg,Farnesene Low,Farnesene High,Farnesene Avg,Hop Storage Index Low,Hop Storage Index High,Co-Humulone,Total Oils,Beta Acid,Caryophyllene,Hop Storage Index Avg,Humulene
Waimea Hop,Dual,New Zealand (NZ),WAI,"™ NZ Hops, Ltd.","['pine', 'citrus', 'mandarin', 'herbal', 'tangerine']","{'Citrus': 4.0, 'Tropical Fruit': 1.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 1.0, 'Grassy': 0.0, 'Herbal': 0.0, 'Spice': 0.0, 'Resin / Pine': 3.0}",14.5,19.0,16.8,7.0,9.0,8.0,2.0,3.0,2.0,22.0,24.0,23.0,1.8,2.3,2.1,,9.0,10.0,9.5,2.0,3.0,2.5,,20.0,26.0,HORT3953 ,59.0,61.0,60.0,4.0,6.0,5.0,,,,,,,,
Wakatu Hop,Dual,New Zealand (NZ),WKT,"™ NZ Hops, Ltd.","['floral', 'lime', 'tropical_fruit', 'zest']","{'Citrus': 2.0, 'Tropical Fruit': 1.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 0.0, 'Grassy': 0.0, 'Herbal': 3.0, 'Spice': 4.0, 'Resin / Pine': 2.0}",6.5,8.5,7.5,8.0,8.5,8.3,1.0,1.0,1.0,28.0,30.0,29.0,0.9,1.2,1.1,,16.0,17.0,16.5,8.0,9.0,8.5,,31.0,35.0,77-05,35.0,36.0,35.5,6.0,7.0,6.5,,,,,,,,
Junga Hop,Bittering,Poland (POL),,,"['earthy', 'spicy', 'fruity', 'grapefruit', 'black_currant']",,10.0,14.0,12.0,5.0,8.0,6.5,1.0,3.0,2.0,29.0,34.0,31.5,1.5,2.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Limbus Hop,Aroma,Poland (POL),,,,,3.0,5.5,4.3,2.5,3.5,3.0,1.0,2.0,2.0,25.0,35.0,30.0,1.1,1.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
Lubelska Hop,Aroma,Poland (POL),LUB,,"['spicy', 'floral', 'magnolia', 'lavender']","{'Citrus': 1.0, 'Tropical Fruit': 0.0, 'Stone Fruit': 1.0, 'Berry': 0.0, 'Floral': 1.0, 'Grassy': 1.0, 'Herbal': 2.0, 'Spice': 1.0, 'Resin / Pine': 2.0}",3.0,5.0,4.0,2.5,4.0,3.3,1.0,2.0,1.0,22.0,28.0,25.0,0.5,1.2,0.9,,30.0,40.0,35.0,6.0,11.0,8.5,,0.0,32.0,,22.0,35.0,28.5,10.0,14.0,12.0,,,,,,,,
Magnat Hop,Dual,Poland (POL),MGN,,"['lilac', 'floral', 'chamomile', 'woody', 'citrus', 'lemon']","{'Citrus': 3.0, 'Tropical Fruit': 1.0, 'Stone Fruit': 1.0, 'Berry': 1.0, 'Floral': 0.0, 'Grassy': 1.0, 'Herbal': 2.0, 'Spice': 1.0, 'Resin / Pine': 3.0}",11.0,16.0,13.5,2.8,7.0,4.9,2.0,6.0,4.0,21.0,25.0,23.0,1.0,2.0,1.5,,16.0,20.0,18.0,7.0,8.0,7.5,,7.0,42.0,4/34,30.0,59.0,44.5,5.0,6.0,5.5,,,,,,,,
Marynka Hop,Dual,Poland (POL),MAR,,"['hay', 'licorice', 'lemon', 'grapefruit', 'anise', 'earthy', 'herbal', 'citrus']","{'Citrus': 2.0, 'Tropical Fruit': 2.0, 'Stone Fruit': 1.0, 'Berry': 1.0, 'Floral': 2.0, 'Grassy': 1.0, 'Herbal': 2.0, 'Spice': 2.0, 'Resin / Pine': 3.0}",7.5,12.0,9.8,10.0,13.0,11.5,1.0,1.0,1.0,26.0,33.0,29.5,1.8,3.3,2.6,,33.0,36.0,34.5,10.0,13.0,11.5,,17.0,28.0,PCU 480,28.0,31.0,29.5,1.0,3.0,2.0,,,,,,,,
Pulawski Hop,Dual,Poland (POL),,IUNG Institute,"['white_grape', 'spice', 'clove', 'papaya', 'lemon', 'herbal']",,8.0,11.0,9.5,3.0,4.0,3.5,2.0,4.0,3.0,26.0,30.0,28.0,2.1,2.1,,,24.0,25.0,24.5,11.0,13.0,12.0,Unknown,23.0,27.0,,38.0,39.0,38.5,,,,,,,,,,,
Sybilla Hop,Aroma,Poland (POL),SYB,,"['floral', 'lemon', 'pine', 'citrus', 'orange', 'ginger', 'chocolate', 'tobacco']","{'Citrus': 3.0, 'Tropical Fruit': 2.0, 'Stone Fruit': 1.0, 'Berry': 0.0, 'Floral': 1.0, 'Grassy': 1.0, 'Herbal': 1.0, 'Spice': 2.0, 'Resin / Pine': 3.0}",6.0,8.0,7.0,3.0,12.0,7.5,1.0,3.0,2.0,26.0,31.0,28.5,1.2,2.2,1.7,,40.0,45.0,42.5,,,,,0.0,26.0,PCU 688,28.0,50.0,39.0,6.0,9.0,7.5,,,,,,Unknown,,
Zula Hop,Dual,Poland (POL),ZUL,,"['clean', 'citrus', 'tropical_fruit', 'fruity']",,8.0,14.0,11.0,3.8,7.0,5.4,1.0,4.0,2.0,30.0,30.0,,1.1,2.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,
Apolon Hop,Dual,Slovenia (SLO),,,,,10.0,12.0,11.0,4.0,4.0,,,,,2.25,2.3,,1.3,1.6,1.5,,25.0,27.0,26.0,3.0,5.0,4.0,,0.0,1.0,,62.0,64.0,63.0,11.0,12.0,11.5,43.0,0.43,,,,,,
Atlas Hop,Dual,Slovenia (SLO),,,"['floral', 'lime', 'pine']",,5.0,11.0,8.0,4.0,4.0,4.0,1.0,3.0,2.0,36.0,38.0,37.0,1.3,1.6,1.5,,8.0,10.0,9.0,3.0,5.0,4.0,,12.0,18.0,,58.0,59.0,58.5,13.0,14.0,13.5,,,,,,,,
Aurora Hop,Dual,Slovenia (SLO),SSA,,"['floral', 'spicy', 'lemongrass', 'noble']","{'Citrus': 2.0, 'Tropical Fruit': 0.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 3.0, 'Grassy': 0.0, 'Herbal': 3.0, 'Spice': 4.0, 'Resin / Pine': 3.0}",6.5,13.0,9.8,2.7,5.5,4.1,1.0,5.0,3.0,20.0,26.0,23.0,0.9,1.8,1.4,,20.0,25.0,22.5,6.0,9.0,7.5,,31.0,49.0,"12/61,HUL005",20.0,25.0,22.5,5.0,10.0,7.5,28.0,0.25,,,,,0.3,
Bobek Hop,Bittering,Slovenia (SLO),SGB,,"['pine', 'floral']","{'Citrus': 2.0, 'Tropical Fruit': 1.0, 'Stone Fruit': 1.0, 'Berry': 1.0, 'Floral': 3.0, 'Grassy': 1.0, 'Herbal': 2.0, 'Spice': 1.0, 'Resin / Pine': 2.0}",3.5,9.3,6.4,4.0,6.6,5.3,1.0,2.0,1.0,26.0,31.0,28.5,0.7,4.0,2.4,,13.0,19.0,16.0,4.0,6.0,5.0,,23.0,49.0,HUL007,30.0,45.0,37.5,4.0,7.0,5.5,,,,,,,,
Cekin Hop,Aroma,Slovenia (SLO),,,['mild'],,6.0,8.0,7.0,2.0,3.0,2.5,2.0,4.0,3.0,20.0,27.0,23.5,0.65,1.5,1.1,,16.0,17.0,16.5,6.0,7.0,6.5,,20.0,24.0,,47.0,48.0,47.5,7.0,8.0,7.5,25.0,0.22,,,,,0.27,
Celeia Hop,Aroma,Slovenia (SLO),SGC,,"['noble', 'floral', 'lavender', 'spicy', 'earthy', 'herbal']","{'Citrus': 1.0, 'Tropical Fruit': 0.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 2.0, 'Grassy': 1.0, 'Herbal': 1.0, 'Spice': 1.0, 'Resin / Pine': 1.0}",3.0,6.0,4.5,2.0,4.0,3.0,1.0,3.0,2.0,25.0,29.0,27.0,0.5,3.6,2.1,,18.0,23.0,20.5,8.0,9.0,8.5,,26.0,45.0,HUL010,26.0,35.0,30.5,3.0,7.0,5.0,,,,,,,,
Dana Hop,Dual,Slovenia (SLO),DAN,,"['floral', 'citrus', 'pine']",,7.2,13.0,10.1,2.7,6.0,4.4,1.0,5.0,3.0,22.0,31.0,26.5,0.9,1.6,1.3,,20.0,27.0,23.5,4.0,8.0,6.0,,3.0,35.0,279/112,35.0,53.0,44.0,6.0,9.0,7.5,,,,,,,,
Styrian Cardinal Hop,Aroma,Slovenia (SLO),CAR,,"['citrus', 'gooseberry', 'pineapple', 'orange', 'lime', 'jasmine', 'guava']","{'Citrus': 3.0, 'Tropical Fruit': 4.0, 'Stone Fruit': 4.0, 'Berry': 1.0, 'Floral': 2.0, 'Grassy': 0.0, 'Herbal': 0.0, 'Spice': 0.0, 'Resin / Pine': 1.0}",8.0,15.0,11.5,3.2,4.6,3.9,2.0,5.0,3.0,31.0,37.0,34.0,3.0,4.0,3.5,,15.0,22.0,18.5,8.0,11.0,9.5,,10.0,32.0,"30/96,HUL034",40.0,50.0,45.0,5.0,7.0,6.0,,,,,,,,
Styrian Dragon Hop,Aroma,Slovenia (SLO),,,"['floral', 'citrus', 'grapefruit', 'lemon', 'berry', 'rose', 'tropical_fruit']",,6.0,11.0,8.5,7.5,8.5,8.0,1.0,1.0,1.0,23.0,24.0,23.5,1.5,2.1,1.8,,22.0,33.0,27.5,12.0,16.0,14.0,,0.0,8.0,,58.0,63.0,60.5,0.0,1.0,0.5,,,,,,,,
Styrian Eagle Hop,Dual,Slovenia (SLO),,™ Slovenian Institute of Hop Research,"['berry', 'banana', 'pine', 'black_pepper', 'peach']",,12.5,17.5,15.0,3.5,5.5,4.5,2.0,5.0,4.0,20.0,23.0,21.5,2.5,4.6,3.6,,0.0,2.5,1.3,4.0,7.0,5.5,,20.5,38.0,HUL030,52.0,60.0,56.0,6.0,10.0,8.0,,,,,,,,
Styrian Fox Hop,Dual,Slovenia (SLO),FOX,,"['black_currant', 'lemongrass', 'marjoram', 'elderflower', 'tropical_fruit', 'pineapple', 'pine', 'citrus', 'honey']",,5.7,12.0,8.9,2.1,4.0,3.1,1.0,6.0,4.0,26.0,30.0,28.0,0.4,1.7,1.1,,12.0,14.0,13.0,4.0,6.0,5.0,,19.0,34.0,102/44,50.0,60.0,55.0,0.0,1.0,0.5,,,,,,,,
Styrian Golding Hop,Aroma,Slovenia (SLO),SSG,,"['earthy', 'spicy', 'resin', 'sweet', 'noble']","{'Citrus': 3.0, 'Tropical Fruit': 0.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 2.0, 'Grassy': 0.0, 'Herbal': 2.0, 'Spice': 2.0, 'Resin / Pine': 1.0}",3.5,6.5,5.0,2.5,3.5,3.0,1.0,3.0,2.0,25.0,30.0,27.5,0.5,1.0,0.8,,34.0,38.0,36.0,9.0,11.0,10.0,,13.0,28.0,,27.0,33.0,30.0,2.0,5.0,3.5,28.0,0.2,,,,,0.35,
Styrian Kolibri Hop,Aroma,Slovenia (SLO),KOL,,"['elderflower', 'black_currant', 'green_tea', 'grass', 'cannabis', 'pineapple']","{'Citrus': 2.0, 'Tropical Fruit': 3.0, 'Stone Fruit': 3.0, 'Berry': 1.0, 'Floral': 3.0, 'Grassy': 1.0, 'Herbal': 4.0, 'Spice': 2.0, 'Resin / Pine': 0.0}",4.0,6.0,5.0,2.8,5.4,4.1,1.0,2.0,1.0,21.0,25.0,23.0,1.0,2.0,1.5,,16.0,21.0,18.5,5.0,7.0,6.0,,7.0,23.0,214/61 ,31.0,38.0,34.5,25.0,27.0,26.0,,,,,,,,
Styrian Wolf Hop,Dual,Slovenia (SLO),WLF,™ Slovenian Institute for Hop Research,"['mango', 'passion_fruit', 'lemongrass', 'elderflower', 'violet', 'floral', 'fruity', 'coconut']","{'Citrus': 2.0, 'Tropical Fruit': 5.0, 'Stone Fruit': 3.0, 'Berry': 0.0, 'Floral': 2.0, 'Grassy': 0.0, 'Herbal': 1.0, 'Spice': 2.0, 'Resin / Pine': 0.0}",10.0,18.5,14.3,2.1,6.0,4.1,2.0,9.0,5.0,22.0,23.0,22.5,0.7,4.5,2.6,,5.0,9.0,7.0,2.0,3.0,2.5,,11.0,29.0,"74/134, HUL035",60.0,70.0,65.0,4.0,7.0,5.5,,,,,,,,
African Queen Hop,Dual,South Africa (SA),AFQ,,"['citrus', 'dank', 'blueberry', 'stone_fruit', 'black_currant', 'gooseberry', 'bubblegum', 'cassis', 'lemongrass', 'chilies', 'gazpacho']","{'Citrus': 3.0, 'Tropical Fruit': 2.0, 'Stone Fruit': 3.0, 'Berry': 4.0, 'Floral': 1.0, 'Grassy': 0.0, 'Herbal': 1.0, 'Spice': 1.0, 'Resin / Pine': 0.0}",10.0,17.0,13.5,3.9,6.2,5.1,2.0,4.0,3.0,22.0,30.0,26.0,0.7,1.5,1.1,,21.0,30.0,25.5,10.0,17.0,13.5,,17.0,44.0,J17 or J-17-63,20.0,29.0,24.5,5.0,7.0,6.0,,,,,,,,
Southern Aroma Hop,Aroma,South Africa (SA),SAR,,"['floral', 'hay', 'herbal', 'straw', 'noble', 'black_currant']","{'Citrus': 1.0, 'Tropical Fruit': 0.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 4.0, 'Grassy': 3.0, 'Herbal': 2.0, 'Spice': 2.0, 'Resin / Pine': 3.0}",3.6,7.3,5.5,5.4,6.0,5.7,1.0,1.0,1.0,19.0,25.0,22.0,0.6,0.8,0.7,,22.0,23.0,22.5,13.0,15.0,14.0,,33.0,48.0,,17.0,28.0,22.5,0.0,1.0,0.5,,,,,,,,
Southern Brewer Hop,Bittering,South Africa (SA),,,"['earthy', 'woody']",,8.0,12.0,10.0,2.5,5.0,3.8,2.0,5.0,3.0,38.0,41.0,39.5,0.4,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Dawn Hop,Dual,South Africa (SA),SDA,,"['quince', 'lemongrass', 'ginger', 'chamomile', 'strawberry', 'citrus', 'fruity', 'herbal', 'spicy']","{'Citrus': 2.0, 'Tropical Fruit': 1.0, 'Stone Fruit': 1.0, 'Berry': 1.0, 'Floral': 1.0, 'Grassy': 0.0, 'Herbal': 1.0, 'Spice': 1.0, 'Resin / Pine': 0.0}",11.2,13.5,12.4,4.3,5.9,5.1,2.0,3.0,3.0,31.0,33.0,32.0,0.6,0.6,,,17.0,25.0,21.0,8.0,11.0,9.5,,9.0,49.0,,22.0,45.0,33.5,4.0,10.0,7.0,,,,,,,,
Southern Passion Hop,Aroma,South Africa (SA),SPN,,"['passion_fruit', 'guava', 'floral', 'coconut', 'redberry', 'melon', 'guava']","{'Citrus': 2.0, 'Tropical Fruit': 4.0, 'Stone Fruit': 4.0, 'Berry': 3.0, 'Floral': 3.0, 'Grassy': 0.0, 'Herbal': 0.0, 'Spice': 0.0, 'Resin / Pine': 0.0}",11.0,14.2,12.6,4.9,8.0,6.5,1.0,3.0,2.0,16.0,26.0,21.0,0.7,1.3,1.0,,14.0,36.0,25.0,8.0,13.0,10.5,,0.0,57.0,,20.0,55.0,37.5,1.0,3.0,2.0,,,,,,,,
Southern Promise Hop,Dual,South Africa (SA),SPR,,"['herbal', 'fruity', 'woody', 'berry', 'citrus', 'floral']","{'Citrus': 3.0, 'Tropical Fruit': 1.0, 'Stone Fruit': 0.0, 'Berry': 3.0, 'Floral': 2.0, 'Grassy': 0.0, 'Herbal': 2.0, 'Spice': 2.0, 'Resin / Pine': 2.0}",9.5,14.5,12.0,3.6,5.8,4.7,2.0,4.0,3.0,20.0,22.0,21.0,0.7,1.1,0.9,,23.0,27.0,25.0,7.0,11.0,9.0,,36.0,49.0,,21.0,25.0,23.0,0.0,1.0,0.5,,,,,,,,
Southern Star Hop,Dual,South Africa (SA),SST,,"['quince', 'berry', 'floral', 'citrus', 'pineapple', 'tangerine', 'tropical_fruit', 'passion_fruit', 'pear', 'cassis', 'rose', 'orange', 'coffee']","{'Citrus': 3.0, 'Tropical Fruit': 2.0, 'Stone Fruit': 2.0, 'Berry': 3.0, 'Floral': 2.0, 'Grassy': 0.0, 'Herbal': 1.0, 'Spice': 2.0, 'Resin / Pine': 1.0}",12.0,18.6,15.3,4.0,7.5,5.8,2.0,5.0,3.0,25.0,31.0,28.0,1.4,1.7,1.6,,23.0,27.0,25.0,10.0,14.0,12.0,,9.0,27.0,,32.0,38.0,35.0,8.0,12.0,10.0,,,,,,,,
Southern Sublime Hop,Aroma,South Africa (SA),SSU,,"['orange', 'plum', 'mango', 'dank', 'pungent', 'citrus']",,10.8,13.4,12.1,4.9,4.9,,,,,26.0,26.0,,,,,,2.0,4.0,3.0,5.0,7.0,6.0,,37.0,44.0,N1/69,49.0,51.0,50.0,0.0,1.0,0.5,,,,Unknown,,,,
Southern Tropic Hop,Bittering,South Africa (SA),STC,,"['melon', 'troical_fruit', 'guava', 'butterscotch', 'lemongrass', 'coconut', 'pungent', 'pineapple', 'bubblegum', 'citrus']",,12.6,18.1,15.4,5.0,6.5,5.8,2.0,4.0,3.0,26.0,30.0,28.0,1.3,1.3,,,14.0,40.0,27.0,6.0,14.0,10.0,,0.0,53.0,U1/108,19.0,46.0,32.5,8.0,11.0,9.5,,,,,,,,
XJA2/436 Hop,Bittering,South Africa (SA),,,"['lemon', 'zest', 'papaya', 'cataloupe', 'gooseberry', 'resin', 'citrus', 'blueberry']",,11.5,16.4,14.0,7.8,8.4,8.1,1.0,2.0,2.0,29.0,30.0,29.5,1.1,1.7,1.4,,21.0,35.0,28.0,11.0,13.0,12.0,,4.0,42.0,,18.0,30.0,24.0,8.0,18.0,13.0,,,,,,,,
Zagrava Hop,Dual,Ukraine (UA),ZAG,,"['herbal', 'spicy', 'fruity', 'floral']",,4.0,7.0,5.5,8.0,12.0,10.0,0.0,1.0,1.0,24.0,28.0,26.0,2.0,3.0,2.5,,14.0,16.0,15.0,7.0,8.0,7.5,,8.0,37.0,,30.0,50.0,40.0,12.0,18.0,15.0,,,,,,,,
Admiral Hop,Bittering,United Kingdom (UK),ADM,,"['orange', 'tea', 'fresh', 'pine', 'citrus', 'resin', 'herbal']","{'Citrus': 1.0, 'Tropical Fruit': 3.0, 'Stone Fruit': 2.0, 'Berry': 3.0, 'Floral': 0.0, 'Grassy': 2.0, 'Herbal': 3.0, 'Spice': 0.0, 'Resin / Pine': 1.0}",13.0,16.2,14.6,4.8,6.1,5.5,2.0,3.0,3.0,37.0,45.0,41.0,1.0,1.7,1.4,,23.0,26.0,24.5,6.0,8.0,7.0,,16.0,32.0,RH40,39.0,48.0,43.5,0.0,2.0,1.0,85.0,0.85,,,,,,
Archer Hop,Aroma,United Kingdom (UK),ARC,® Charles Faram,"['apricot', 'lime', 'floral', 'citrus', 'peach']",,4.0,6.0,5.0,2.0,3.0,2.5,1.0,3.0,2.0,32.0,38.0,35.0,0.6,0.8,0.7,,26.0,30.0,28.0,,,,,44.0,54.0,,20.0,25.0,22.5,0.0,1.0,0.5,,,,,,Unknown,,
Beata Hop,Bittering,United Kingdom (UK),,,"['almond', 'apricot', 'honey']",,5.0,7.0,6.0,9.0,11.0,10.0,0.0,1.0,1.0,23.0,28.0,25.5,1.0,1.5,1.3,,4.0,8.0,6.0,,,,,62.0,69.0,,27.0,29.0,28.0,0.0,1.0,0.5,,,,,,Unknown,,
Boadicea Hop,Dual,United Kingdom (UK),BOA,,"['floral', 'blossom', 'fruity']","{'Citrus': 0.0, 'Tropical Fruit': 0.0, 'Stone Fruit': 0.0, 'Berry': 2.0, 'Floral': 2.0, 'Grassy': 0.0, 'Herbal': 2.0, 'Spice': 4.0, 'Resin / Pine': 0.0}",7.5,10.0,8.8,3.2,4.5,3.9,2.0,3.0,2.0,23.0,29.0,26.0,1.3,2.2,1.8,,19.0,21.0,20.0,15.0,19.0,17.0,,15.0,36.0,OR423,30.0,40.0,35.0,0.0,5.0,2.5,,,,,,,,
Bramling Cross Hop,Dual,United Kingdom (UK),BRX,,"['black_currant', 'loganberry', 'vanilla', 'lemon', 'spicy']","{'Citrus': 3.0, 'Tropical Fruit': 1.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 0.0, 'Grassy': 0.0, 'Herbal': 4.0, 'Spice': 2.0, 'Resin / Pine': 3.0}",5.0,8.0,6.5,2.3,3.2,2.8,2.0,3.0,3.0,33.0,35.0,34.0,0.7,1.2,1.0,,29.0,31.0,30.0,14.0,16.0,15.0,,14.0,22.0,OT 48,35.0,37.0,36.0,0.0,2.0,1.0,,,,,,,,
Challenger Hop,Dual,United Kingdom (UK),CHA,,"['cedar', 'green_tea', 'fruity']","{'Citrus': 1.0, 'Tropical Fruit': 0.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 0.0, 'Grassy': 0.0, 'Herbal': 3.0, 'Spice': 3.0, 'Resin / Pine': 2.0}",6.5,9.0,7.8,3.0,4.5,3.8,1.0,3.0,2.0,20.0,25.0,22.5,1.0,1.7,1.4,,24.0,26.0,25.0,9.0,10.0,9.5,,21.0,37.0,4/63/25,30.0,42.0,36.0,0.0,1.0,0.5,,,,,,,,
Defender Hop,Aroma,United Kingdom (UK),,,['pleasant'],,3.3,6.0,4.7,1.1,2.5,1.8,1.0,5.0,3.0,23.0,32.0,27.5,0.28,0.98,0.6,,34.0,36.0,35.0,13.0,15.0,14.0,,13.0,20.0,62053,30.0,32.0,31.0,3.0,4.0,3.5,41.0,0.41,,,,,,
East Kent Goldings Hop,Bittering,United Kingdom (UK),EKG,,"['lavender', 'honey', 'lemon', 'thyme', 'orange', 'grapefruit', 'floral']","{'Citrus': 2.0, 'Tropical Fruit': 0.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 1.0, 'Grassy': 0.0, 'Herbal': 2.0, 'Spice': 3.0, 'Resin / Pine': 2.0}",4.0,6.5,5.3,1.9,3.5,2.7,1.0,3.0,2.0,20.0,32.0,26.0,0.4,1.0,0.7,,38.0,44.0,41.0,12.0,16.0,14.0,,8.0,21.0,,29.0,31.0,30.0,0.0,1.0,0.5,22.0,0.22,,,,,,
Endeavour Hop,Dual,United Kingdom (UK),END,,"['black_currant', 'loganberry', 'spicy', 'grapefruit', 'lime']","{'Citrus': 1.0, 'Tropical Fruit': 1.0, 'Stone Fruit': 1.0, 'Berry': 1.0, 'Floral': 1.0, 'Grassy': 1.0, 'Herbal': 2.0, 'Spice': 2.0, 'Resin / Pine': 2.0}",5.0,10.6,7.8,3.8,5.3,4.6,1.0,3.0,2.0,30.0,36.0,33.0,1.1,1.8,1.5,,3.0,10.0,6.5,,,,,45.0,65.0,15/2,27.0,37.0,32.0,5.0,8.0,6.5,,,,,,Unknown,,
Epic Hop,Aroma,United Kingdom (UK),,,"['fruity', 'berry', 'herbal']",,3.0,5.0,4.0,1.7,2.5,2.1,1.0,3.0,2.0,30.0,33.0,31.5,0.4,0.8,0.6,,41.0,43.0,42.0,1.0,2.0,1.5,,41.0,46.0,,11.0,12.0,11.5,1.0,2.0,1.5,,,,,,,,
Ernest Hop,Aroma,United Kingdom (UK),,,"['grassy', 'herbal', 'spicy', 'stone_fruit']",,4.4,6.3,5.4,4.5,5.5,5.0,1.0,1.0,1.0,50.0,55.0,52.5,0.7,1.1,0.9,,8.0,12.0,10.0,0.0,1.0,0.5,,26.0,42.0,,50.0,60.0,55.0,0.0,1.0,0.5,,,,,,,,
First Gold Hop,Dual,United Kingdom (UK),FGO,,"['tangerine', 'apricot', 'magnolia', 'redberry', 'herbal', 'orange', 'herbal', 'spicy', 'floral']","{'Citrus': 2.0, 'Tropical Fruit': 2.0, 'Stone Fruit': 2.0, 'Berry': 2.0, 'Floral': 2.0, 'Grassy': 0.0, 'Herbal': 3.0, 'Spice': 1.0, 'Resin / Pine': 2.0}",5.6,10.0,7.8,2.3,4.1,3.2,1.0,4.0,3.0,29.0,35.0,32.0,0.7,1.5,1.1,,20.0,24.0,22.0,6.0,7.0,6.5,,37.0,48.0,S4,24.0,28.0,26.0,2.0,4.0,3.0,,,,,,,,
Flyer Hop,Dual,United Kingdom (UK),FLY,,"['spicy', 'citrus', 'licorice', 'resin', 'caramel']",,8.3,14.5,11.4,4.1,6.0,5.1,1.0,4.0,2.0,26.0,35.0,30.5,0.6,0.6,,,22.0,23.0,22.5,0.0,1.0,0.5,,50.0,61.0,29/02/10,17.0,25.0,21.0,0.0,1.0,0.5,,,,,,,,
Fuggle Hop,Aroma,United Kingdom (UK),FUG,,"['woody', 'grassy', 'mint', 'mild']","{'Citrus': 2.0, 'Tropical Fruit': 0.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 0.0, 'Grassy': 0.0, 'Herbal': 2.0, 'Spice': 3.0, 'Resin / Pine': 4.0}",2.4,6.1,4.3,2.1,3.5,2.8,1.0,3.0,2.0,25.0,32.0,28.5,0.44,1.0,0.7,,30.0,40.0,35.0,11.0,15.0,13.0,,12.0,39.0,,15.0,25.0,20.0,5.0,8.0,6.5,,,,,,,,
Godiva Hop,Aroma,United Kingdom (UK),,™ Charles Faram,"['spicy', 'tangerine', 'gooseberry', 'white_wine']",,6.0,9.0,7.5,1.9,3.0,2.5,2.0,5.0,3.0,25.0,29.0,27.0,0.4,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Hallertau Taurus Hop,Dual,United Kingdom (UK),HTU,,"['chocolate', 'banana', 'spicy', 'pepper', 'curry', 'earthy']","{'Citrus': 0.0, 'Tropical Fruit': 1.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 0.0, 'Grassy': 0.0, 'Herbal': 0.0, 'Spice': 3.0, 'Resin / Pine': 3.0}",12.0,17.9,15.0,4.0,6.0,5.0,2.0,4.0,3.0,20.0,25.0,22.5,0.9,1.5,1.2,,30.0,31.0,30.5,7.0,9.0,8.0,,28.0,34.0,88/55/13,29.0,31.0,30.0,0.0,1.0,0.5,35.0,0.3,,,,,0.4,
Harlequin Hop,Dual,United Kingdom (UK),,®  Charles Faram & Co,"['passion_fruit', 'peach', 'pineapple']",,9.0,12.0,10.5,7.0,9.0,8.0,1.0,2.0,1.0,27.0,31.0,29.0,1.0,1.6,1.3,,4.0,6.0,5.0,,,,,22.0,28.0,,59.0,61.0,60.0,9.0,11.0,10.0,,,,,,Unknown,,
Herald Hop,Dual,United Kingdom (UK),,,"['orange', 'grapefruit', 'citrus', 'clean']",,9.0,13.0,11.0,4.5,5.5,5.0,2.0,3.0,2.0,35.0,37.0,36.0,1.0,1.9,1.5,,14.0,16.0,15.0,6.0,8.0,7.0,,34.0,41.0,,39.0,41.0,40.0,0.0,1.0,0.5,,,,,,,,
Jester Hop,Dual,United Kingdom (UK),,,,,7.0,9.0,8.0,4.0,6.0,5.0,1.0,2.0,2.0,23.0,28.0,25.5,0.6,1.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
Minstrel Hop,Dual,United Kingdom (UK),MIN,® Charles Faram & Co Ltd.,"['herbal', 'spicy', 'berry', 'orange']",,5.0,7.0,6.0,3.0,3.5,3.3,1.0,2.0,2.0,22.0,26.0,24.0,0.5,0.7,0.6,,1.0,4.0,2.5,,,,,62.0,70.0,,22.0,25.0,23.5,7.0,9.0,8.0,,,,,,Unknown,,
