hop_name,alpha_acid_min,alpha_acid_max,alpha_acid_avg,beta_acid_min,beta_acid_max,beta_acid_avg,alpha_beta_ratio_min_first,alpha_beta_ratio_min_second,alpha_beta_ratio_max_first,alpha_beta_ratio_max_second,alpha_beta_ratio_avg_first,alpha_beta_ratio_avg_second,hsi_min,hsi_max,hsi_avg,cohumulone_min,cohumulone_max,cohumulone_avg,total_oils_min,total_oils_max,total_oils_avg,myrcene_min,myrcene_max,myrcene_avg,humulene_min,humulene_max,humulene_avg,caryophyllene_min,caryophyllene_max,caryophyllene_avg,farnesene_min,farnesene_max,farnesene_avg,other_oils_min,other_oils_max,other_oils_avg
Mistral Hop,6.5,8.5,7.5,3.1,3.8,3.5,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,29.0,39.0,34.0,1.0,1.5,1.3,59.0,65.0,62.0,9.0,13.0,11.0,3.0,4.0,3.5,2.0,4.0,3.0,14.0,27.0,nan
Petit Blanc Hop,2.0,4.0,3.0,5.0,6.0,5.5,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,15.0,0.5,0.8,0.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Strisselspalt Hop,1.0,4.0,2.5,3.0,6.0,4.5,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,20.0,27.0,23.5,0.6,0.8,0.7,35.0,52.0,43.5,13.0,21.0,17.0,8.0,10.0,9.0,0.0,1.0,0.5,16.0,44.0,nan
Tardif de Bourgogne Hop,2.2,5.3,3.8,3.1,5.8,4.5,0.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,20.0,0.4,0.9,0.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Triskel Hop,3.0,9.0,6.0,4.0,5.5,4.8,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,20.0,23.0,21.5,1.2,2.0,1.6,55.0,61.0,58.0,10.0,16.0,13.0,2.0,3.0,2.5,0.0,1.0,0.5,19.0,33.0,nan
Akoya Hop,9.0,10.0,9.5,4.0,5.0,4.5,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,27.0,30.0,28.5,1.5,2.0,1.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ariana Hop,9.0,13.0,11.0,4.5,6.0,5.3,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,40.0,42.0,41.0,1.6,2.4,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Aurum Hop,3.5,5.7,4.6,nan,nan,3.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brewer's Gold (GR) Hop,4.5,7.8,6.2,2.9,3.7,3.3,1.0,1.0,3.0,1.0,2.0,1.0,26.0,0.258,nan,39.0,48.0,43.5,0.8,2.2,1.5,40.0,50.0,45.0,29.0,31.0,30.0,7.0,8.0,7.5,0.0,1.0,0.5,10.0,24.0,nan
Callista Hop,2.0,5.0,3.5,5.0,10.0,7.5,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,15.0,22.0,18.5,0.7,2.1,1.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Diamant Hop,7.0,7.5,7.3,nan,nan,193.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hallertau Blanc Hop,9.0,12.0,10.5,4.0,7.0,5.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,22.0,35.0,28.5,0.8,2.2,1.5,50.0,75.0,62.5,0.0,3.0,1.5,0.0,2.0,1.0,0.0,1.0,0.5,19.0,50.0,nan
Hallertau Gold Hop,7.0,10.0,8.5,5.0,7.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,nan,nan,20.0,1.7,1.8,1.8,62.0,64.0,63.0,16.0,18.0,17.0,4.0,5.0,4.5,0.0,1.0,0.5,12.0,18.0,nan
Hallertau Mittelfrüh Hop,3.0,5.5,4.3,3.0,5.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,18.0,28.0,23.0,0.7,1.3,1.0,15.0,16.0,15.5,55.0,56.0,55.5,14.0,15.0,14.5,0.0,1.0,0.5,12.0,16.0,nan
Hallertau Tradition Hop,4.6,7.0,5.8,3.0,6.0,4.5,1.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,23.0,30.0,26.5,0.5,1.9,1.2,17.0,32.0,24.5,35.0,50.0,42.5,10.0,15.0,12.5,0.0,1.0,0.5,2.0,38.0,nan
Herkules Hop,12.0,17.0,14.5,4.0,5.5,4.8,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,32.0,38.0,35.0,1.4,2.4,1.9,30.0,50.0,40.0,30.0,45.0,37.5,7.0,12.0,9.5,0.0,1.0,0.5,0.0,33.0,nan
Hersbrucker Hop,1.5,5.0,3.3,2.5,6.0,4.3,0.0,1.0,2.0,1.0,1.0,1.0,nan,nan,40.0,17.0,25.0,21.0,0.5,1.3,0.9,15.0,30.0,22.5,20.0,30.0,25.0,8.0,13.0,10.5,0.0,1.0,0.5,26.0,57.0,nan
Huell Melon Hop,6.9,8.0,7.5,6.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,25.0,30.0,27.5,0.8,1.2,1.0,35.0,37.0,36.0,10.0,20.0,15.0,5.0,10.0,7.5,0.0,1.0,0.5,32.0,50.0,nan
