hop_name,alpha_acid_min,alpha_acid_max,alpha_acid_avg,beta_acid_min,beta_acid_max,beta_acid_avg,alpha_beta_ratio_min_first,alpha_beta_ratio_min_second,alpha_beta_ratio_max_first,alpha_beta_ratio_max_second,alpha_beta_ratio_avg_first,alpha_beta_ratio_avg_second,hsi_min,hsi_max,hsi_avg,cohumulone_min,cohumulone_max,cohumulone_avg,total_oils_min,total_oils_max,total_oils_avg,myrcene_min,myrcene_max,myrcene_avg,humulene_min,humulene_max,humulene_avg,caryophyllene_min,caryophyllene_max,caryophyllene_avg,farnesene_min,farnesene_max,farnesene_avg,other_oils_min,other_oils_max,other_oils_avg
Samba Hop,8.0,12.0,10.0,4.0,6.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,28.0,32.0,30.0,1.5,2.5,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Santiam Hop,5.0,8.5,6.8,5.3,8.5,6.9,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,45.0,18.0,24.0,21.0,1.0,2.2,1.6,15.0,25.0,20.0,20.0,30.0,25.0,6.0,9.0,7.5,14.0,18.0,16.0,18.0,45.0,nan
Satus Hop,12.0,14.5,13.3,8.5,9.0,8.8,1.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,32.0,35.0,33.5,1.5,2.8,2.2,40.0,45.0,42.5,15.0,20.0,17.5,7.0,10.0,8.5,0.0,1.0,0.5,24.0,38.0,nan
Saugatuck Hop,nan,nan,5.4,nan,nan,3.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sequoia Blend Hop,9.0,12.0,10.5,3.5,5.5,4.5,2.0,1.0,3.0,1.0,3.0,1.0,nan,nan,nan,28.0,32.0,30.0,1.5,2.5,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Shaddock Hop,nan,nan,4.96,nan,nan,3.59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Simcoe Hop,11.0,15.0,13.0,3.0,5.0,4.0,2.0,1.0,5.0,1.0,4.0,1.0,27.0,0.268,nan,15.0,21.0,18.0,0.8,3.2,2.0,40.0,50.0,45.0,15.0,20.0,17.5,8.0,14.0,11.0,0.0,1.0,0.5,15.0,37.0,nan
Sitiva Blend Hop,7.2,7.6,7.4,4.2,4.5,4.4,2.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,27.0,28.0,27.5,nan,nan,0.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sonnet Hop,2.6,7.4,5.0,2.0,3.7,2.9,1.0,1.0,4.0,1.0,2.0,1.0,nan,nan,nan,nan,nan,nan,0.2,1.0,0.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sterling Hop,5.5,8.5,7.0,4.0,6.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,27.0,0.27,nan,22.0,28.0,25.0,1.0,2.0,1.5,35.0,45.0,40.0,16.0,18.0,17.0,5.0,8.0,6.5,15.0,19.0,17.0,10.0,29.0,nan
Sticky Fingers Blend Hop,nan,nan,11.92,nan,nan,4.59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Stirling Hop,6.0,12.0,9.0,4.0,6.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,70.0,21.0,28.0,24.5,1.3,1.9,1.6,44.0,48.0,46.0,19.0,23.0,21.0,5.0,7.0,6.0,11.0,17.0,14.0,5.0,21.0,nan
Strata Hop,11.0,12.5,11.8,5.0,7.0,6.0,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,nan,nan,21.0,2.3,3.5,2.9,52.0,65.0,58.5,22.0,30.0,26.0,5.0,13.0,9.0,0.0,1.0,0.5,0.0,21.0,nan
Sultana (Denali) Hop,13.0,16.0,14.5,3.5,7.0,5.3,2.0,1.0,5.0,1.0,3.0,1.0,nan,nan,nan,22.0,26.0,24.0,2.5,4.5,3.5,54.0,55.0,54.5,15.0,17.0,16.0,5.0,7.0,6.0,0.0,1.0,0.5,20.0,26.0,nan
Summit Hop,15.0,17.5,16.3,4.0,6.5,5.3,2.0,1.0,4.0,1.0,3.0,1.0,15.0,0.15,nan,26.0,33.0,29.5,1.5,3.0,2.3,30.0,40.0,35.0,18.0,22.0,20.0,12.0,16.0,14.0,0.0,1.0,0.5,21.0,40.0,nan
Sun Hop,12.0,16.0,14.0,4.5,7.0,5.8,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,30.0,40.0,35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sunbeam Hop,4.0,5.0,4.5,nan,nan,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Super Galena Hop,13.0,16.0,14.5,8.0,10.0,9.0,1.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,35.0,40.0,37.5,0.8,2.5,1.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tahoma Hop,7.0,8.2,7.6,8.5,9.5,9.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,0.307,nan,15.0,17.0,16.0,1.0,2.0,1.5,67.0,72.0,69.5,9.0,11.0,10.0,2.0,4.0,3.0,0.0,1.0,0.5,12.0,22.0,nan
Talisman Hop,5.7,8.0,6.9,2.8,3.6,3.2,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,nan,nan,53.0,nan,nan,0.7,67.0,69.0,68.0,3.0,5.0,4.0,5.0,6.0,5.5,0.0,1.0,0.5,19.0,25.0,nan
Talus Hop,8.1,9.5,8.8,8.3,10.2,9.3,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,34.0,39.0,36.5,1.0,2.7,1.9,40.0,50.0,45.0,16.0,21.0,18.5,9.0,13.0,11.0,0.0,1.0,0.5,15.0,35.0,nan
Teamaker Hop,0.6,1.8,1.2,5.4,13.2,9.3,0.0,1.0,0.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,59.0,61.0,60.0,1.0,2.0,1.5,11.0,13.0,12.0,0.0,1.0,0.5,23.0,29.0,nan
Tettnang (US) Hop,2.5,5.5,4.0,3.0,5.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,20.0,28.0,24.0,0.5,0.9,0.7,30.0,45.0,37.5,18.0,23.0,20.5,6.0,7.0,6.5,5.0,8.0,6.5,17.0,41.0,nan
Tillicum Hop,13.5,15.5,14.5,9.5,11.5,10.5,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,35.0,nan,nan,1.5,39.0,41.0,40.0,13.0,15.0,14.0,7.0,8.0,7.5,0.0,1.0,0.5,35.0,41.0,nan
TNT Blend Hop,11.5,13.0,12.3,nan,nan,193.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tomahawk Hop,15.0,17.5,16.3,4.5,6.0,5.3,3.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,28.0,35.0,31.5,2.5,4.5,3.5,45.0,55.0,50.0,9.0,14.0,11.5,6.0,10.0,8.0,0.0,1.0,0.5,20.0,40.0,nan
Trident Hop,11.0,14.0,12.5,4.0,5.0,4.5,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,20.0,30.0,25.0,1.5,3.0,2.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TriplePearl Hop,10.0,11.2,10.6,3.3,4.2,3.8,2.0,1.0,3.0,1.0,3.0,1.0,28.0,0.28,nan,21.0,55.0,38.0,0.8,1.8,1.3,39.0,55.0,47.0,7.0,11.0,9.0,3.0,5.0,4.0,0.0,1.0,0.5,28.0,51.0,nan
Triumph Hop,9.0,12.0,10.5,3.0,5.0,4.0,2.0,1.0,4.0,1.0,3.0,1.0,26.0,0.26,nan,22.0,26.0,24.0,0.8,1.8,1.3,25.0,40.0,32.5,28.0,34.0,31.0,8.0,10.0,9.0,0.0,1.0,0.5,15.0,39.0,nan
Tropica Hop,nan,nan,8.8,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ultra Hop,3.0,9.7,6.4,3.6,5.0,4.3,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,25.0,35.0,30.0,0.8,1.5,1.2,50.0,60.0,55.0,10.0,15.0,12.5,6.0,9.0,7.5,0.0,1.0,0.5,15.0,34.0,nan
USDA 008 Hop,10.1,11.1,10.6,2.7,3.3,3.0,3.0,1.0,4.0,1.0,4.0,1.0,32.0,0.317,nan,25.0,26.0,25.5,1.6,1.7,1.7,6.0,7.0,6.5,48.0,49.0,48.5,16.0,17.0,16.5,0.0,1.0,0.5,26.0,30.0,nan
Vanguard Hop,4.0,6.5,5.3,5.5,7.0,6.3,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,14.0,20.0,17.0,0.4,1.0,0.7,5.0,15.0,10.0,49.0,55.0,52.0,13.0,17.0,15.0,0.0,1.0,0.5,12.0,33.0,nan
Vista Hop,8.0,12.0,10.0,3.5,5.5,4.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,29.0,31.0,30.0,0.8,2.2,1.5,30.0,40.0,35.0,18.0,22.0,20.0,10.0,14.0,12.0,0.0,1.0,0.5,23.0,42.0,nan
Walhalla Hop,5.97,10.0,8.0,3.75,6.0,4.9,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Warrior Hop,14.5,18.0,16.3,4.3,6.0,5.2,2.0,1.0,4.0,1.0,3.0,1.0,24.0,0.24,nan,22.0,26.0,24.0,1.0,2.5,1.8,40.0,50.0,45.0,15.0,18.0,16.5,11.0,14.0,12.5,0.0,1.0,0.5,17.0,34.0,nan
Wild Wolf Hop,nan,nan,8.25,nan,nan,5.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Willamette Hop,4.0,7.2,5.6,3.0,4.5,3.8,1.0,1.0,2.0,1.0,2.0,1.0,nan,nan,38.0,28.0,35.0,31.5,0.6,1.6,1.1,22.0,55.0,38.5,20.0,35.0,27.5,7.0,14.0,10.5,5.0,10.0,7.5,0.0,46.0,nan
X13459 Hop,3.0,5.5,4.3,4.0,5.0,4.5,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,21.0,24.0,22.5,0.8,2.0,1.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Yakima Cluster Hop,4.4,9.8,7.1,3.0,6.1,4.6,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,39.0,42.0,40.5,0.24,0.9,0.6,45.0,55.0,50.0,17.0,19.0,18.0,6.0,7.0,6.5,0.0,1.0,0.5,18.0,32.0,nan
Yakima Gold Hop,7.0,8.0,7.5,3.5,4.5,4.0,2.0,1.0,2.0,1.0,2.0,1.0,32.0,0.316,nan,21.0,23.0,22.0,0.5,1.5,1.0,35.0,45.0,40.0,18.0,24.0,21.0,5.0,9.0,7.0,8.0,12.0,10.0,10.0,34.0,nan
YQH-1380 Hop,9.3,11.0,10.2,6.8,7.0,6.9,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,32.0,33.0,32.5,1.3,2.0,1.7,67.0,68.0,67.5,9.0,10.0,9.5,4.0,5.0,4.5,0.0,1.0,0.5,16.0,20.0,nan
Zamba Blend Hop,8.0,12.0,10.0,4.0,6.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,28.0,32.0,30.0,1.5,2.5,2.0,60.0,70.0,65.0,9.0,13.0,11.0,5.0,8.0,6.5,1.0,4.0,2.5,5.0,25.0,nan
Zappa Hop,6.0,9.0,7.5,8.0,9.0,8.5,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,40.0,45.0,42.5,1.8,2.5,2.2,64.0,65.0,64.5,4.0,5.0,4.5,8.0,9.0,8.5,0.0,1.0,0.5,20.0,24.0,nan
Zenia Hop,11.0,14.0,12.5,4.4,5.1,4.8,2.0,1.0,3.0,1.0,3.0,1.0,nan,nan,nan,nan,nan,nan,0.7,2.5,1.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Zenith Hop,9.0,11.0,10.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Zeus Hop,13.0,17.5,15.3,4.0,6.5,5.3,2.0,1.0,4.0,1.0,3.0,1.0,48.0,0.48,nan,28.0,40.0,34.0,2.4,4.5,3.5,45.0,60.0,52.5,9.0,18.0,13.5,6.0,11.0,8.5,0.0,1.0,0.5,10.0,40.0,nan
Zythos Hop,10.0,12.5,11.3,4.7,6.2,5.5,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,28.0,31.0,29.5,0.7,1.2,1.0,30.0,50.0,40.0,14.0,23.0,18.5,7.0,10.0,8.5,1.0,3.0,2.0,14.0,48.0,nan
